Date,Open,High,Low,Close,Adj Close,Volume
2020-12-28,2.63,2.63,2.36,2.39,2.39,23942700
2020-12-29,2.44,2.46,2.28,2.29,2.29,21086100
2020-12-30,2.3,2.3,2.13,2.16,2.16,40278400
2020-12-31,2.17,2.22,2.08,2.12,2.12,28234300
2021-01-04,2.2,2.2,2.0,2.01,2.01,29873800
2021-01-05,1.99,2.03,1.91,1.98,1.98,28148300
2021-01-06,2.03,2.23,1.97,2.01,2.01,67363300
2021-01-07,2.08,2.11,2.02,2.05,2.05,26150500
2021-01-08,2.09,2.21,2.07,2.14,2.14,39553300
2021-01-11,2.16,2.27,2.15,2.2,2.2,41695800
2021-01-12,2.24,2.39,2.24,2.29,2.29,41549200
2021-01-13,2.33,2.38,2.13,2.18,2.18,45847700
2021-01-14,2.22,2.32,2.13,2.18,2.18,49638800
2021-01-15,2.2,2.55,2.18,2.33,2.33,162356400
2021-01-19,2.8,3.2,2.57,3.06,3.06,256276000
2021-01-20,3.29,3.34,2.75,2.97,2.97,181862200
2021-01-21,3.0,3.06,2.85,2.98,2.98,64823800
2021-01-22,2.91,3.74,2.81,3.51,3.51,268273400
2021-01-25,4.71,4.88,3.85,4.42,4.42,443238100
2021-01-26,5.09,5.19,4.37,4.96,4.96,456850200
2021-01-27,20.34,20.360001,11.01,19.9,19.9,1222342500
2021-01-28,11.98,16.5,6.51,8.63,8.63,591223900
2021-01-29,14.31,16.0,11.6,13.26,13.26,602193300
2021-02-01,17.0,17.25,12.91,13.3,13.3,434608000
2021-02-02,9.48,10.1,6.0,7.82,7.82,462775900
2021-02-03,8.85,9.77,7.89,8.97,8.97,221405100
2021-02-04,8.7,8.74,7.0,7.09,7.09,162985800
2021-02-05,7.17,8.27,6.52,6.83,6.83,197097600
2021-02-08,6.88,6.89,5.75,6.18,6.18,128171500
2021-02-09,5.81,5.81,5.26,5.5,5.5,102588100
2021-02-10,5.71,6.59,5.45,5.8,5.8,152810800
