Date,Open,High,Low,Close,Adj Close,Volume
2020-12-28,7.1,7.13,6.85,6.88,6.88,9820100
2020-12-29,6.98,7.0,6.68,6.77,6.77,11284200
2020-12-30,6.79,6.81,6.6,6.67,6.67,9434900
2020-12-31,6.68,6.8,6.63,6.63,6.63,7530600
2021-01-04,6.7,6.82,6.52,6.58,6.58,11139200
2021-01-05,6.62,6.8,6.56,6.77,6.77,9108900
2021-01-06,6.71,6.91,6.63,6.71,6.71,11022300
2021-01-07,6.75,7.12,6.72,7.06,7.06,13062800
2021-01-08,7.22,7.64,7.1,7.56,7.56,23039300
2021-01-11,7.64,7.79,7.32,7.65,7.65,15720100
2021-01-12,7.69,7.71,7.48,7.63,7.63,9416000
2021-01-13,7.65,7.66,7.4,7.44,7.44,8345500
2021-01-14,7.51,9.33,7.47,9.11,9.11,65231300
2021-01-15,10.68,11.56,9.4,9.84,9.84,153854700
2021-01-19,10.85,12.39,10.58,12.35,12.35,112483200
2021-01-20,13.23,13.64,12.38,12.79,12.79,130140700
2021-01-21,12.62,12.95,12.01,12.85,12.85,63272900
2021-01-22,12.37,14.28,12.17,14.04,14.04,120473600
2021-01-25,19.549999,20.83,15.74,18.030001000000002,18.030001000000002,363829100
2021-01-26,19.09,19.51,17.190001000000002,18.92,18.92,242740800
2021-01-27,20.25,28.77,19.809998999999998,25.1,25.1,372222600
2021-01-28,19.469998999999998,22.5,13.4,14.65,14.65,194906600
2021-01-29,17.98,18.120001000000002,13.69,14.1,14.1,94049200
2021-02-01,14.64,15.54,12.73,14.63,14.63,78506000
2021-02-02,13.47,13.75,11.08,11.55,11.55,80520900
2021-02-03,11.72,12.47,11.08,12.0,12.0,50001300
2021-02-04,12.12,12.43,11.53,12.15,12.15,33668000
2021-02-05,11.92,13.67,11.88,13.23,13.23,44183100
2021-02-08,13.78,14.35,13.3,13.76,13.76,37068900
2021-02-09,13.61,13.65,13.01,13.43,13.43,23252500
2021-02-10,13.07,13.49,12.75,13.1,13.1,27277900
2021-02-11,12.84,13.09,12.13,12.46,12.46,22895500
2021-02-12,12.29,13.29,12.12,13.04,13.04,18222500
2021-02-16,13.12,13.17,12.05,12.21,12.21,25480200
2021-02-17,11.8,11.82,11.01,11.32,11.32,26222900
2021-02-18,10.83,11.28,10.75,10.94,10.94,19052600
2021-02-19,10.97,11.19,10.62,10.9,10.9,20132700
2021-02-22,10.61,11.56,10.57,10.68,10.68,21227500
2021-02-23,10.29,10.46,9.63,10.4,10.4,27150600
2021-02-24,10.29,11.72,10.18,11.32,11.32,40660700
2021-02-25,12.14,12.15,10.35,10.58,10.58,46082800
2021-02-26,10.48,10.82,10.01,10.05,10.05,22542400
2021-03-01,10.29,11.25,10.29,10.91,10.91,24897300
2021-03-02,10.9,10.94,10.42,10.5,10.5,12395300
2021-03-03,10.48,10.72,10.05,10.15,10.15,14866300
2021-03-04,10.01,10.37,9.59,9.84,9.84,26124100
2021-03-05,9.8,9.85,8.82,9.45,9.45,23723400
2021-03-08,9.39,10.02,9.19,9.75,9.75,16479500
2021-03-09,10.19,10.68,10.03,10.45,10.45,21437800
2021-03-10,11.01,11.01,10.15,10.34,10.34,23939100
2021-03-11,10.55,10.8,10.33,10.7,10.7,12306200
2021-03-12,10.47,11.93,10.36,11.85,11.85,25863200
2021-03-15,12.09,12.52,11.55,11.68,11.68,25353500
2021-03-16,11.87,12.2,11.27,11.46,11.46,19812400
2021-03-17,11.33,11.66,11.15,11.6,11.6,9710500
2021-03-18,11.39,11.47,10.66,10.76,10.76,11400300
2021-03-19,10.83,11.17,10.69,10.95,10.95,10519100
2021-03-22,11.0,11.34,10.66,10.71,10.71,7903600
2021-03-23,10.69,10.69,10.02,10.07,10.07,12245500
2021-03-24,10.21,10.22,9.55,9.58,9.58,12636100
