ticker,date,url,num_mentions,pct_mentions,pos_count,neg_count,bullish_pct,bearish_pct,neutral_pct,price,price_change_net,price_change_pct,time_of_price
UWMC,"May 17, 2021",https://finance.yahoo.com/quote/UWMC?p=UWMC,119,17,47,16,39,13,47,7.51,+0.09,+1.21%,At close:  4:00PM EDT
GME,"May 17, 2021",https://finance.yahoo.com/quote/GME?p=GME,26,3,8,8,30,30,38,159.92,-4.58,-2.78%,At close:  4:00PM EDT
MT,"May 17, 2021",https://finance.yahoo.com/quote/MT?p=MT,3,<1,2,0,66,0,33,32.47,+0.33,+1.03%,At close:  4:00PM EDT
MNDM,"May 17, 2021",https://finance.yahoo.com/quote/MNDM?p=MNDM,1,<1,1,0,100,0,0,,,,
GAYMF,"May 17, 2021",https://finance.yahoo.com/quote/GAYMF?p=GAYMF,1,<1,0,0,0,0,100,0.7940,+0.0040,+0.51%,At close:  3:55PM EDT
COIN,"May 17, 2021",https://finance.yahoo.com/quote/COIN?p=COIN,5,<1,2,0,40,0,60,258.37,-6.73,-2.54%,At close:  4:00PM EDT
MVIS,"May 17, 2021",https://finance.yahoo.com/quote/MVIS?p=MVIS,13,1,4,1,30,7,61,14.04,+1.56,+12.50%,At close:  4:00PM EDT
PLTR,"May 17, 2021",https://finance.yahoo.com/quote/PLTR?p=PLTR,26,3,10,9,38,34,26,20.08,+1.71,+9.31%,At close:  4:00PM EDT
CLOV,"May 17, 2021",https://finance.yahoo.com/quote/CLOV?p=CLOV,61,8,16,16,26,26,47,7.47,+0.21,+2.89%,At close:  4:00PM EDT
IDEX,"May 17, 2021",https://finance.yahoo.com/quote/IDEX?p=IDEX,2,<1,0,0,0,0,100,2.4600,+0.0900,+3.80%,At close:  4:00PM EDT
DISCA,"May 17, 2021",https://finance.yahoo.com/quote/DISCA?p=DISCA,11,1,4,3,36,27,36,35.65,+0.42,+1.19%,At close:  4:00PM EDT
TSLA,"May 17, 2021",https://finance.yahoo.com/quote/TSLA?p=TSLA,45,6,17,14,37,31,31,589.74,+18.05,+3.16%,At close:  4:00PM EDT
CORN,"May 17, 2021",https://finance.yahoo.com/quote/CORN?p=CORN,3,<1,0,2,0,66,33,19.92,-0.61,-2.97%,At close:  4:00PM EDT
AMC,"May 17, 2021",https://finance.yahoo.com/quote/AMC?p=AMC,39,5,9,13,23,33,43,12.98,+0.21,+1.64%,At close:  4:00PM EDT
CLOVGANG,"May 17, 2021",https://finance.yahoo.com/quote/CLOVGANG?p=CLOVGANG,1,<1,0,0,0,0,100,,,,
SPY,"May 17, 2021",https://finance.yahoo.com/quote/SPY?p=SPY,23,3,6,6,26,26,47,416.58,+6.30,+1.54%,At close:  4:00PM EDT
PLUG,"May 17, 2021",https://finance.yahoo.com/quote/PLUG?p=PLUG,4,<1,1,0,25,0,75,24.58,+2.62,+11.93%,At close:  4:00PM EDT
PSA,"May 17, 2021",https://finance.yahoo.com/quote/PSA?p=PSA,1,<1,1,0,100,0,0,273.45,-0.50,-0.18%,At close:  4:00PM EDT
FSR,"May 17, 2021",https://finance.yahoo.com/quote/FSR?p=FSR,1,<1,0,1,0,100,0,10.50,+0.55,+5.53%,At close:  7:09PM EDT
T,"May 17, 2021",https://finance.yahoo.com/quote/T?p=T,5,<1,3,0,60,0,40,32.24,+0.03,+0.09%,At close:  4:04PM EDT
DIS,"May 17, 2021",https://finance.yahoo.com/quote/DIS?p=DIS,10,1,4,4,40,40,20,173.70,-4.64,-2.60%,At close:  4:04PM EDT
NFLX,"May 17, 2021",https://finance.yahoo.com/quote/NFLX?p=NFLX,2,<1,0,1,0,50,50,493.37,+6.71,+1.38%,At close:  4:00PM EDT
QQQ,"May 17, 2021",https://finance.yahoo.com/quote/QQQ?p=QQQ,1,<1,0,1,0,100,0,326.39,+7.05,+2.21%,At close:  4:00PM EDT
SNDL,"May 17, 2021",https://finance.yahoo.com/quote/SNDL?p=SNDL,4,<1,0,2,0,50,50,0.7066,+0.0166,+2.41%,At close:  4:00PM EDT
DTE,"May 17, 2021",https://finance.yahoo.com/quote/DTE?p=DTE,1,<1,0,0,0,0,100,141.12,+0.86,+0.61%,At close:  4:03PM EDT
MARA,"May 17, 2021",https://finance.yahoo.com/quote/MARA?p=MARA,12,1,1,9,8,75,16,23.08,+3.42,+17.40%,At close:  4:00PM EDT
HAYW,"May 17, 2021",https://finance.yahoo.com/quote/HAYW?p=HAYW,1,<1,1,0,100,0,0,24.54,+1.67,+7.30%,At close:  4:00PM EDT
RIOT,"May 17, 2021",https://finance.yahoo.com/quote/RIOT?p=RIOT,22,3,3,16,13,72,13,26.02,+3.79,+17.05%,At close:  4:00PM EDT
ARKK,"May 17, 2021",https://finance.yahoo.com/quote/ARKK?p=ARKK,1,<1,0,0,0,0,100,104.18,+4.70,+4.72%,At close:  4:00PM EDT
STEM,"May 17, 2021",https://finance.yahoo.com/quote/STEM?p=STEM,1,<1,0,1,0,100,0,18.04,+1.66,+10.13%,At close:  4:00PM EDT
VXX,"May 17, 2021",https://finance.yahoo.com/quote/VXX?p=VXX,3,<1,1,1,33,33,33,38.60,-5.15,-11.76%,At close:  4:00PM EDT
UWM,"May 17, 2021",https://finance.yahoo.com/quote/UWM?p=UWM,8,1,4,2,50,25,25,111.13,+5.14,+4.85%,At close:  4:00PM EDT
HNST,"May 17, 2021",https://finance.yahoo.com/quote/HNST?p=HNST,1,<1,0,0,0,0,100,15.97,+1.06,+7.11%,At close:  4:00PM EDT
VIAC,"May 17, 2021",https://finance.yahoo.com/quote/VIAC?p=VIAC,15,2,6,7,40,46,13,38.91,+0.40,+1.04%,At close:  4:00PM EDT
RKT,"May 17, 2021",https://finance.yahoo.com/quote/RKT?p=RKT,12,1,7,2,58,16,25,17.34,+0.76,+4.58%,At close:  4:00PM EDT
