ticker,Date,num_mentions
A,02-01,1
A,03-01,1
A,05-01,1
A,06-01,1
A,08-01,1
AA,01-01,30
AA,02-01,103
AA,03-01,19
AA,04-01,26
AA,05-01,13
AA,06-01,53
AA,07-01,6
AA,08-01,3
AA,09-01,6
AA,10-01,3
AA,12-01,2
AAA,01-01,22
AAA,02-01,18
AAA,03-01,13
AAA,04-01,8
AAA,05-01,5
AAA,06-01,5
AAA,12-01,2
AAAU,05-01,1
AAC,03-01,2
AAL,01-01,102
AAL,02-01,303
AAL,03-01,108
AAL,04-01,12
AAL,05-01,37
AAL,06-01,25
AAL,07-01,21
AAL,08-01,37
AAL,09-01,8
AAL,10-01,3
AAL,12-01,2
AAP,01-01,2
AAP,02-01,5
AAP,03-01,1
AAP,07-01,1
AAPL,01-01,1232
AAPL,02-01,1901
AAPL,03-01,497
AAPL,04-01,723
AAPL,05-01,250
AAPL,06-01,197
AAPL,07-01,594
AAPL,08-01,146
AAPL,09-01,162
AAPL,10-01,19
AAPL,12-01,180
AAWW,02-01,4
AAWW,05-01,2
AAWW,06-01,4
AAWW,09-01,7
AAWW,10-01,10
AB,01-01,16
AB,02-01,7
AB,03-01,6
AB,04-01,3
AB,06-01,2
AB,09-01,1
ABB,01-01,34
ABB,02-01,1
ABB,05-01,1
ABB,08-01,1
ABB,09-01,1
ABB,12-01,2
ABBV,01-01,2
ABBV,02-01,5
ABBV,03-01,1
ABBV,04-01,1
ABBV,08-01,1
ABBV,09-01,7
ABBV,10-01,5
ABC,01-01,32
ABC,02-01,24
ABC,03-01,25
ABC,04-01,14
ABC,05-01,8
ABC,06-01,4
ABC,07-01,3
ABC,08-01,2
ABC,09-01,2
ABC,12-01,8
ABCL,01-01,8
ABCL,03-01,7
ABCL,04-01,3
ABCL,05-01,1
ABCL,06-01,5
ABCL,07-01,5
ABCL,09-01,2
ABEV,02-01,11
ABEV,03-01,10
ABG,06-01,1
ABM,09-01,2
ABML,02-01,2
ABNB,01-01,76
ABNB,02-01,49
ABNB,03-01,21
ABNB,04-01,5
ABNB,05-01,25
ABNB,06-01,36
ABNB,07-01,18
ABNB,08-01,30
ABNB,09-01,2
ABNB,12-01,14
ABR,04-01,1
ABR,10-01,1
ABT,01-01,4
ABT,02-01,2
ABT,03-01,2
ABT,04-01,1
ABT,06-01,4
ABT,07-01,1
ABT,09-01,1
ABUS,03-01,1
AC,01-01,54
AC,02-01,25
AC,03-01,28
AC,04-01,8
AC,05-01,5
AC,06-01,16
AC,12-01,6
ACA,02-01,3
ACA,04-01,1
ACA,06-01,3
ACAD,03-01,6
ACAD,04-01,4
ACAD,05-01,1
ACAD,06-01,1
ACAM,01-01,2
ACAM,02-01,1
ACB,01-01,186
ACB,02-01,215
ACB,03-01,39
ACB,04-01,39
ACB,05-01,66
ACB,06-01,114
ACB,08-01,8
ACB,09-01,4
ACB,10-01,16
ACB,12-01,6
ACC,01-01,8
ACC,02-01,3
ACC,03-01,1
ACCD,05-01,1
ACER,03-01,1
ACER,06-01,1
ACER,08-01,2
ACES,01-01,30
ACEV,03-01,1
ACH,01-01,36
ACH,02-01,35
ACH,03-01,7
ACH,04-01,2
ACH,06-01,1
ACH,08-01,5
ACH,09-01,7
ACHC,02-01,1
ACHR,09-01,1
ACI,01-01,4
ACI,04-01,1
ACI,06-01,2
ACI,09-01,1
ACIC,01-01,10
ACIC,02-01,13
ACIC,06-01,1
ACM,01-01,6
ACM,02-01,11
ACM,03-01,1
ACM,05-01,4
ACM,07-01,1
ACMR,02-01,2
ACN,01-01,2
ACP,04-01,2
ACRE,06-01,2
ACRS,02-01,1
ACST,03-01,1
ACST,06-01,1
ACST,07-01,1
ACT,09-01,1
ACTC,01-01,10
ACTC,03-01,3
ACTC,04-01,1
ACTC,05-01,2
ACTC,06-01,1
ACVA,03-01,2
ACVA,08-01,1
ACWI,09-01,1
ADBE,02-01,2
ADBE,03-01,19
ADBE,04-01,1
ADBE,05-01,4
ADBE,06-01,7
ADBE,08-01,1
ADBE,09-01,3
ADBE,10-01,1
ADBE,12-01,2
ADDYY,02-01,1
ADF,06-01,2
ADI,01-01,2
ADI,02-01,1
ADI,04-01,1
ADI,09-01,2
ADM,01-01,2
ADM,02-01,22
ADM,05-01,1
ADM,06-01,1
ADM,07-01,11
ADM,08-01,2
ADM,09-01,1
ADMP,03-01,1
ADMP,05-01,1
ADMQ,05-01,1
ADP,01-01,2
ADP,02-01,4
ADP,03-01,3
ADP,05-01,2
ADP,06-01,2
ADP,08-01,8
ADP,09-01,10
ADP,10-01,6
ADPT,06-01,1
ADS,01-01,16
ADS,02-01,18
ADS,03-01,4
ADS,08-01,1
ADS,09-01,4
ADS,12-01,6
ADSK,06-01,2
ADSK,07-01,1
ADT,01-01,6
ADT,03-01,4
ADT,04-01,5
ADT,05-01,2
ADTX,10-01,1
ADUS,03-01,1
ADV,01-01,2
ADV,03-01,3
ADV,04-01,1
ADV,06-01,2
ADVM,05-01,2
ADX,03-01,1
ADXS,06-01,1
AE,01-01,2
AE,02-01,8
AE,03-01,1
AE,04-01,1
AEE,01-01,6
AEI,02-01,5
AEI,06-01,6
AEM,01-01,4
AEM,02-01,1
AEMD,06-01,2
AEMD,08-01,1
AEO,01-01,4
AEO,02-01,2
AEO,08-01,3
AEO,09-01,1
AEP,01-01,2
AEP,02-01,8
AEP,03-01,7
AEP,09-01,1
AER,02-01,2
AER,03-01,4
AER,06-01,1
AER,07-01,3
AES,01-01,6
AES,02-01,4
AES,03-01,1
AES,05-01,1
AES,12-01,6
AESE,01-01,2
AESE,03-01,5
AESE,04-01,1
AESE,05-01,1
AEVA,04-01,1
AEVA,05-01,2
AEVA,06-01,7
AEZS,02-01,1
AEZS,06-01,1
AEZS,10-01,5
AFB,04-01,1
AFC,02-01,2
AFC,12-01,2
AFG,02-01,1
AFK,01-01,4
AFL,01-01,2
AFMJF,06-01,3
AFRM,01-01,14
AFRM,02-01,15
AFRM,03-01,3
AFRM,04-01,1
AFRM,05-01,3
AFRM,06-01,2
AFRM,07-01,3
AFRM,08-01,39
AFRM,09-01,50
AFRM,10-01,8
AG,01-01,88
AG,02-01,350
AG,03-01,17
AG,04-01,20
AG,05-01,20
AG,06-01,6
AG,07-01,2
AG,08-01,2
AG,09-01,1
AGC,03-01,1
AGC,06-01,2
AGC,09-01,1
AGE,01-01,12
AGE,02-01,9
AGE,05-01,1
AGE,06-01,1
AGE,07-01,2
AGE,12-01,2
AGEN,06-01,3
AGEN,07-01,1
AGEN,09-01,10
AGFY,02-01,4
AGFY,04-01,1
AGFY,06-01,22
AGG,04-01,1
AGI,01-01,6
AGI,02-01,5
AGI,03-01,5
AGI,04-01,2
AGI,07-01,1
AGI,12-01,8
AGIL,09-01,4
AGL,05-01,1
AGL,06-01,2
AGL,08-01,1
AGL,09-01,1
AGM,04-01,2
AGM,05-01,1
AGNC,01-01,2
AGNC,05-01,1
AGNC,06-01,2
AGNC,12-01,8
AGNMF,05-01,1
AGO,01-01,36
AGO,02-01,25
AGO,03-01,15
AGO,04-01,6
AGO,05-01,2
AGO,06-01,7
AGO,07-01,3
AGQ,01-01,2
AGQ,02-01,12
AGRO,06-01,4
AGRX,01-01,2
AGRX,06-01,2
AGT,03-01,1
AGTC,06-01,2
AHCO,04-01,5
AHH,01-01,4
AHH,02-01,2
AHH,03-01,13
AHH,04-01,3
AHH,05-01,1
AHH,06-01,6
AHH,12-01,2
AHT,03-01,2
AHT,05-01,1
AHT,06-01,8
AI,01-01,378
AI,02-01,185
AI,03-01,223
AI,04-01,105
AI,05-01,108
AI,06-01,121
AI,07-01,50
AI,08-01,97
AI,09-01,58
AI,10-01,3
AI,12-01,66
AIC,06-01,2
AIG,01-01,4
AIG,02-01,14
AIG,03-01,4
AIG,07-01,6
AIG,08-01,1
AIG,09-01,3
AIHS,02-01,1
AIKI,02-01,1
AIM,01-01,16
AIM,02-01,6
AIM,03-01,1
AIM,04-01,1
AIM,06-01,1
AIM,09-01,1
AIM,12-01,2
AIN,01-01,64
AIN,02-01,51
AIN,03-01,12
AIN,04-01,6
AIN,05-01,2
AIN,06-01,2
AIN,07-01,2
AIN,12-01,2
AIO,02-01,4
AIO,06-01,3
AIR,01-01,18
AIR,02-01,4
AIR,03-01,4
AIR,04-01,2
AIR,05-01,2
AIR,06-01,4
AIR,07-01,2
AIR,10-01,4
AIR,12-01,2
AIT,02-01,2
AITX,01-01,2
AIV,02-01,2
AJAX,02-01,1
AJINY,02-01,1
AJRD,01-01,2
AJRD,03-01,2
AJRD,05-01,8
AJRD,09-01,4
AKA,09-01,1
AKA,10-01,2
AKAM,02-01,3
AKAM,12-01,2
AKBA,01-01,2
AKU,04-01,1
AL,01-01,12
AL,02-01,1
AL,03-01,1
AL,06-01,1
AL,07-01,3
ALB,01-01,4
ALB,02-01,6
ALB,03-01,1
ALB,05-01,1
ALB,08-01,2
ALB,12-01,2
ALEAF,02-01,2
ALEC,06-01,1
ALEC,07-01,6
ALEX,01-01,2
ALEX,02-01,26
ALEX,03-01,1
ALEX,04-01,2
ALF,05-01,6
ALF,06-01,11
ALG,02-01,1
ALGN,02-01,1
ALGN,08-01,6
ALGN,09-01,11
ALGN,10-01,7
ALGT,02-01,5
ALIT,07-01,1
ALIT,08-01,2
ALK,01-01,2
ALK,02-01,8
ALK,06-01,1
ALK,07-01,1
ALK,08-01,4
ALKS,08-01,1
ALL,01-01,2784
ALL,02-01,1230
ALL,03-01,645
ALL,04-01,254
ALL,05-01,163
ALL,06-01,462
ALL,07-01,100
ALL,08-01,65
ALL,09-01,105
ALL,10-01,22
ALL,12-01,120
ALLO,02-01,4
ALLY,01-01,8
ALLY,02-01,13
ALLY,03-01,1
ALLY,04-01,4
ALLY,05-01,1
ALLY,06-01,2
ALLY,07-01,3
ALLY,09-01,1
ALLY,12-01,2
ALOT,01-01,26
ALOT,02-01,33
ALOT,03-01,16
ALOT,05-01,3
ALOT,06-01,10
ALOT,12-01,4
ALPP,01-01,2
ALSN,01-01,12
ALT,01-01,2
ALT,02-01,4
ALT,03-01,1
ALT,04-01,1
ALT,05-01,2
ALT,06-01,6
ALT,08-01,1
ALT,09-01,1
ALTO,05-01,1
ALV,06-01,1
ALVR,03-01,1
ALXN,03-01,7
ALXN,06-01,1
ALZN,06-01,1
ALZN,09-01,2
AM,01-01,450
AM,12-01,36
AMAT,01-01,18
AMAT,02-01,55
AMAT,03-01,5
AMAT,04-01,3
AMAT,05-01,8
AMAT,06-01,11
AMAT,07-01,1
AMAT,08-01,6
AMAT,09-01,2
AMBA,01-01,2
AMC,01-01,3810
AMC,02-01,17690
AMC,03-01,6646
AMC,04-01,1739
AMC,05-01,4066
AMC,06-01,9397
AMC,07-01,2085
AMC,08-01,622
AMC,09-01,479
AMC,10-01,157
AMC,12-01,14
AMCA,03-01,1
AMCR,05-01,1
AMCX,01-01,8
AMCX,02-01,24
AMCX,03-01,52
AMCX,04-01,4
AMCX,06-01,4
AMD,01-01,1324
AMD,02-01,1479
AMD,03-01,387
AMD,04-01,729
AMD,05-01,605
AMD,06-01,888
AMD,07-01,620
AMD,08-01,519
AMD,09-01,97
AMD,10-01,43
AMD,12-01,82
AME,01-01,6
AME,02-01,17
AME,03-01,2
AME,05-01,1
AME,06-01,4
AME,08-01,1
AMEH,03-01,1
AMEH,08-01,1
AMG,01-01,8
AMG,02-01,7
AMG,03-01,4
AMG,05-01,2
AMG,06-01,3
AMG,08-01,1
